DAY,"YEAR A","YEAR B","YEAR C"
"PROPER 12","1 Kings 3:3-14; Ps 119:121-136; Rom 8:26-34; Matt 13:31-33,44-50","2 Kings 2:1-15; Ps 114; Eph 3:(1-7)8-21; Mark 6:45-52","Gen 18:20-33; Ps 138; Col 2:6-15; Luke 11:1-13"
"PROPER 13","Neh 9:16-21; Ps 78:(1-13)14-26; Rom 8:35-39; Matt 14:13-21","Ex 16:2-4(5-8)9-15; Ps 78:(1-13)14-26; Eph 4:1-16; John 6:24-35","Eccl 1:12—2:11; Ps 49:1-12(13-21); Col 3:5-17; Luke 12:13-21"
"PROPER 14","Jon 2:1-10; Ps 29; Rom 9:1-5; Matt 14:22-33","Deut 8:1-10; Ps 34:(1-7)8-15(16-22); Eph 4:17—5:2; John 6:37-51","Gen 15:1-6; Ps 33(1-9)10-21; Heb 11:1-16; Luke 12:32-40"
"PROPER 15","Isa 56:1-8; Ps 67; Rom 11:13-24; Matt 15:21-28","Prov 9:1-6; Ps 147; Eph 5:3-14; John 6:53-59","Jer 23:23-29; Ps 82; Heb 12:1-14; Luke 12:49-56"
"PROPER 16","Isa 51:1-6; Ps 138; Rom 11:25-36; Matt 16:13-20","Josh 24:1-2a,14-25; Ps 16; Eph 5:15-33(6:1-9); John 6:60-69","Isa 28:14-22; Ps 46; Heb 12:(15-17)18-29; Luke 13:22-30"
"PROPER 17","Jer 15:15-21; Ps 26; Rom 12:1-8; Matt 16:21-27","Deut 4:1-9; Ps 15; Eph 6:10-20; Mark 7:1-23","Ecclesiasticus 10:7-18; Ps 112; Heb 13:1-8; Luke 14:1,7-14"
"PROPER 18","Ezek 33:1-11; Ps 119:33-48; Rom 12:9-21; Matt 18:15-20","Isa 35:4-7a; Ps 146; James 1:17-27; Mark 7:31-37","Deut 30:15-20; Ps 1; Philemon (1-3)4-21(22-25); Luke 14:25-33"
"PROPER 19","Ecclesiasticus 27:30—28:7; Ps 103 or 103:1-14; Rom 14:5-12; Matt 18:21-35","Isa 50:4-9; Ps 116:1-9(10-16); James 2:1-18; Mark 9:14-29","Ex 32:1,7-14; Ps 51:1-17; 1 Tim 1:12-17; Luke 15:1-10"
"PROPER 20","Jonah 3:10—4:11; Ps 145:(1-13)14-21; Phil 1:21-27; Matt 20:1-16","Wisdom 1:16—2:1, 12-22; Ps 54; James 3:16—4:6; Mark 9:30-37","Amos 8:4-12; Ps 138; 1 Tim 2:1-7(8-15); Luke 16:1-13"
"PROPER 21","Ezek 18:1-4,25-32; Ps 25:1-14(15-21); Phil 2:1-13; Matt 21:28-32","Num 11:4-6,10-17, 24-29; Ps 19:(1-6)7-14; James 4:7-12(13—5:6); Mark 9:38-48","Amos 6:1-7; Ps 146; 1 Tim 6:11-19; Luke 16:19-31"
"PROPER 22","Isa 5:1-7; Ps 80:(1-6)7-19; Phil 3:14-21; Matt 21:33-44","Gen 2:18-24; Ps 8; Heb 2:(1-8)9-18; Mark 10:2-16","Hab 1:1-13, 2:1-4; Ps 37:1-17; 2 Tim 1:1-14; Luke 17:5-10"
"PROPER 23","Isa 25:1-9; Ps 23; Phil 4:4-13; Matt 22:1-14","Amos 5:6-15; Ps 90:1-12(13-17); Heb 3:1-6; Mark 10:17-31","Ruth 1:1-19a; Ps 113; 2 Tim 2:1-15; Luke 17:11-19"
"PROPER 24","Mal 3:6-12; Ps 96; 1 Thess 1:1-10; Matt 22:15-22","Isa 53:4-12; Ps 91; Heb 4:12-16; Mark 10:35-45","Gen 32:3-8,22-30; Ps 121; 2 Tim 3:14—4:5; Luke 18:1-8"
"PROPER 25","Ex 22:21-27; Ps 1; 1 Thess 2:1-8; Matt 22:34-46","Isa 59:9-20; Ps 13; Heb 5:11—6:12; Mark 10:46-52","Jer 14:(1-6)7-10,19-22; Ps 84; 2 Tim 4:6-18; Luke 18:9-14"
"ALL SAINTS’ DAY","Ecclesiasticus 44:1-14 or Rev 7:9-17; Ps 149; Rev 7:9-17 or Eph 1:(11-14)15-23; Matt 5:1-12 or Luke 6:20-26(27-36)","Ecclesiasticus 44:1-14 or Rev 7:9-17; Ps 149; Rev 7:9-17 or Eph 1:(11-14)15-23; Matt 5:1-12 or Luke 6:20-26(27-36)","Ecclesiasticus 44:1-14 or Rev 7:9-17; Ps 149; Rev 7:9-17 or Eph 1:(11-14)15-23; Matt 5:1-12 or Luke 6:20-26(27-36)"
"PROPER 26","Mic 3:5-12; Ps 43; 1 Thess 2:9-20; Matt 23:1-12","Deut 6:1-9; Ps 119:1-16; Heb 7:23-28; Mark 12:28-34","Isa 1:10-20; Ps 32; 2 Thess 1:1-12; Luke 19:1-10"
"PROPER 27","Amos 5:18-24; Ps 70; 1 Thess 4:13-18; Matt 25:1-13","1 Kings 17:8-16; Ps 146; Heb 9:24-28; Mark 12:38-44","Job 19:23-27a; Ps 17; 2 Thess 2:13—3:5; Luke 20:27-38"
"PROPER 28","Zeph 1:7,12-18; Ps 90:1-12(13-17); 1 Thess 5:1-10; Matt 25:14-30","Dan 12:1-4a(4b-13); Ps 16; Heb 10:31-39; Mark 13:14-23","Mal 3:13—4:6; Ps 98; 2 Thess 3:6-16; Luke 21:5-19"
"PROPER 29","Ezek 34:11-20; Ps 95; 1 Cor 15:20-28; Matt 25:31-46","Dan 7:9-14; Ps 93; Rev 1:1-8; John 18:33-37","Jer 23:1-6; Ps 46; Col 1:11-20; Luke 23:35-43"
